,serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents
56958,1,0.956756757,49,1,2.12125535,700.0,4,1,2,0,1.0
68156,0,0.0,27,0,0.0,0.0,1,0,0,0,0.0
117553,0,0.1370208089999999,40,0,0.200370511,23750.0,12,0,1,0,3.0
27108,0,0.0820091339999999,49,0,0.424485745,11083.0,14,0,2,0,0.0
82089,0,0.913708629,79,0,0.236352547,3278.0,4,1,0,0,0.0
14382,0,0.611241981,52,0,0.683241904,5650.0,19,0,1,0,0.0
143586,0,0.073761907,83,0,0.2792467949999999,2495.0,9,0,0,1,0.0
145941,0,0.014507638,68,0,0.006665556,6000.0,10,0,0,0,1.0
87529,0,0.0159987689999999,25,0,0.0473840079999999,2025.0,15,0,0,0,0.0
29688,0,0.0926336769999999,56,0,0.262832111,10500.0,5,0,1,0,0.0
118176,0,0.841325394,84,0,0.2600948599999999,7800.0,7,0,2,0,0.0
138031,0,0.9999999,63,0,0.2109782279999999,3260.0,3,0,1,0,0.0
121844,0,0.153111133,57,0,0.4562459689999999,4650.0,19,0,1,0,0.0
31727,0,0.155605549,56,0,0.140369772,5570.0,4,0,0,0,0.0
130649,0,0.0159109379999999,76,0,0.311965812,6785.0,9,0,1,0,1.0
96917,0,0.381296952,51,0,0.551814933,5316.0,12,0,2,0,1.0
9239,0,0.197201865,21,0,8.0,0.0,2,0,0,0,0.0
69152,1,0.009805186,65,0,0.7206599179999998,8000.0,4,2,2,0,4.0
38411,0,0.0060307889999999,81,0,0.00016284,6140.0,5,0,0,0,0.0
96072,0,0.0285657139999999,85,0,0.004544628,5500.0,3,0,0,0,0.0
98896,0,0.143972763,39,0,0.567508347,9583.0,18,0,3,0,1.0
117145,1,1.054396374,32,3,0.4901213170000001,5769.0,7,0,2,0,0.0
12058,0,0.718053365,42,0,0.3491096089999999,10500.0,10,0,1,0,4.0
131705,0,0.060218577,40,2,0.589344379,7000.0,11,0,2,0,2.0
91399,0,0.7879696929999997,85,0,0.104510638,5874.0,2,0,0,0,0.0
82637,0,0.044014707,53,0,0.1920501649999999,9408.0,5,0,1,0,3.0
41380,0,0.9999999,57,0,0.0,13000.0,0,0,0,0,0.0
